"DMS_Project"

"Time      "	".A1.Translational_Displacement.Y"	".D1.Translational_Displacement.Y"	".M1.Translational_Displacement.Y"	".O1.Translational_Displacement.Y"	".H7.Translational_Displacement.Y"	".N5.Translational_Displacement.Y"	".C2.Translational_Displacement.Y"	".G2.Translational_Displacement.Y"	".K3.Translational_Displacement.Y"
3.400000e-01	-2.524375e+00	-9.024248e-01	-1.804788e+00	-5.856426e-12	-2.000000e-01	-8.000000e-01	-1.894057e+00	9.700131e-02	-2.411910e+00
3.500000e-01	-2.539773e+00	-9.157075e-01	-1.814637e+00	-6.197709e-12	-2.000000e-01	-8.000000e-01	-1.905384e+00	8.390201e-02	-2.430773e+00
3.600000e-01	-2.554927e+00	-9.288338e-01	-1.824323e+00	-6.560752e-12	-2.000000e-01	-8.000000e-01	-1.916804e+00	7.090511e-02	-2.449776e+00
3.700000e-01	-2.569833e+00	-9.417974e-01	-1.833843e+00	-6.946221e-12	-2.000000e-01	-8.000000e-01	-1.928319e+00	5.802987e-02	-2.468909e+00
3.800000e-01	-2.584485e+00	-9.545917e-01	-1.843192e+00	-7.353451e-12	-2.000000e-01	-8.000000e-01	-1.939933e+00	4.529352e-02	-2.488162e+00
3.900000e-01	-2.598877e+00	-9.672103e-01	-1.852368e+00	-7.783107e-12	-2.000000e-01	-8.000000e-01	-1.951644e+00	3.271121e-02	-2.507523e+00
4.000000e-01	-2.613004e+00	-9.796465e-01	-1.861367e+00	-8.235634e-12	-2.000000e-01	-8.000000e-01	-1.963449e+00	2.029610e-02	-2.526980e+00
4.100000e-01	-2.626860e+00	-9.918936e-01	-1.870186e+00	-8.710144e-12	-2.000000e-01	-8.000000e-01	-1.975340e+00	8.059358e-03	-2.546520e+00
4.200000e-01	-2.640439e+00	-1.003945e+00	-1.878822e+00	-9.204859e-12	-2.000000e-01	-8.000000e-01	-1.987309e+00	-3.989682e-03	-2.566130e+00
4.300000e-01	-2.653736e+00	-1.015794e+00	-1.887272e+00	-9.720003e-12	-2.000000e-01	-8.000000e-01	-1.999343e+00	-1.584348e-02	-2.585794e+00
4.400000e-01	-2.666746e+00	-1.027433e+00	-1.895532e+00	-1.025313e-11	-2.000000e-01	-8.000000e-01	-2.011430e+00	-2.749616e-02	-2.605499e+00
4.500000e-01	-2.679463e+00	-1.038855e+00	-1.903599e+00	-1.080114e-11	-2.000000e-01	-8.000000e-01	-2.023553e+00	-3.894338e-02	-2.625229e+00
4.600000e-01	-2.691882e+00	-1.050054e+00	-1.911471e+00	-1.136158e-11	-2.000000e-01	-8.000000e-01	-2.035693e+00	-5.018218e-02	-2.644970e+00
4.700000e-01	-2.703997e+00	-1.061022e+00	-1.919143e+00	-1.192912e-11	-2.000000e-01	-8.000000e-01	-2.047832e+00	-6.121087e-02	-2.664705e+00
4.800000e-01	-2.715803e+00	-1.071752e+00	-1.926614e+00	-1.250067e-11	-2.000000e-01	-8.000000e-01	-2.059947e+00	-7.202883e-02	-2.684419e+00
4.900000e-01	-2.727295e+00	-1.082237e+00	-1.933880e+00	-1.306910e-11	-2.000000e-01	-8.000000e-01	-2.072017e+00	-8.263640e-02	-2.704096e+00
5.000000e-01	-2.738468e+00	-1.092470e+00	-1.940938e+00	-1.362821e-11	-2.000000e-01	-8.000000e-01	-2.084016e+00	-9.303471e-02	-2.723722e+00
5.100000e-01	-2.749315e+00	-1.102442e+00	-1.947786e+00	-1.417022e-11	-2.000000e-01	-8.000000e-01	-2.095920e+00	-1.032255e-01	-2.743280e+00
5.200000e-01	-2.759833e+00	-1.112148e+00	-1.954419e+00	-1.468625e-11	-2.000000e-01	-8.000000e-01	-2.107704e+00	-1.132110e-01	-2.762755e+00
5.300000e-01	-2.770016e+00	-1.121578e+00	-1.960837e+00	-1.516587e-11	-2.000000e-01	-8.000000e-01	-2.119340e+00	-1.229937e-01	-2.782131e+00
5.400000e-01	-2.779859e+00	-1.130726e+00	-1.967035e+00	-1.559997e-11	-2.000000e-01	-8.000000e-01	-2.130801e+00	-1.325764e-01	-2.801394e+00
5.500000e-01	-2.789356e+00	-1.139585e+00	-1.973011e+00	-1.597567e-11	-2.000000e-01	-8.000000e-01	-2.142062e+00	-1.419618e-01	-2.820528e+00
5.600000e-01	-2.798503e+00	-1.148146e+00	-1.978762e+00	-1.628275e-11	-2.000000e-01	-8.000000e-01	-2.153094e+00	-1.511527e-01	-2.839516e+00
5.700000e-01	-2.807295e+00	-1.156403e+00	-1.984286e+00	-1.650746e-11	-2.000000e-01	-8.000000e-01	-2.163870e+00	-1.601513e-01	-2.858344e+00
5.800000e-01	-2.815727e+00	-1.164348e+00	-1.989580e+00	-1.663869e-11	-2.000000e-01	-8.000000e-01	-2.174363e+00	-1.689599e-01	-2.876993e+00
5.900000e-01	-2.823794e+00	-1.171974e+00	-1.994641e+00	-1.666423e-11	-2.000000e-01	-8.000000e-01	-2.184547e+00	-1.775802e-01	-2.895446e+00
6.000000e-01	-2.831492e+00	-1.179272e+00	-1.999467e+00	-1.657452e-11	-2.000000e-01	-8.000000e-01	-2.194396e+00	-1.860132e-01	-2.913686e+00
6.100000e-01	-2.838816e+00	-1.186238e+00	-2.004055e+00	-1.635869e-11	-2.000000e-01	-8.000000e-01	-2.203884e+00	-1.942596e-01	-2.931692e+00
6.200000e-01	-2.845762e+00	-1.192862e+00	-2.008404e+00	-1.601075e-11	-2.000000e-01	-8.000000e-01	-2.212987e+00	-2.023190e-01	-2.949444e+00
6.300000e-01	-2.852325e+00	-1.199138e+00	-2.012511e+00	-1.552536e-11	-2.000000e-01	-8.000000e-01	-2.221682e+00	-2.101904e-01	-2.966918e+00
6.400000e-01	-2.858501e+00	-1.205060e+00	-2.016373e+00	-1.490164e-11	-2.000000e-01	-8.000000e-01	-2.229946e+00	-2.178721e-01	-2.984090e+00
6.500000e-01	-2.864287e+00	-1.210621e+00	-2.019989e+00	-1.414180e-11	-2.000000e-01	-8.000000e-01	-2.237759e+00	-2.253611e-01	-3.000932e+00
6.600000e-01	-2.869677e+00	-1.215815e+00	-2.023356e+00	-1.325229e-11	-2.000000e-01	-8.000000e-01	-2.245100e+00	-2.326538e-01	-3.017416e+00
6.700000e-01	-2.874670e+00	-1.220636e+00	-2.026473e+00	-1.224509e-11	-2.000000e-01	-8.000000e-01	-2.251950e+00	-2.397453e-01	-3.033509e+00
6.800000e-01	-2.879260e+00	-1.225078e+00	-2.029337e+00	-1.113509e-11	-2.000000e-01	-8.000000e-01	-2.258294e+00	-2.466297e-01	-3.049176e+00
6.900000e-01	-2.883446e+00	-1.229136e+00	-2.031948e+00	-9.942269e-12	-2.000000e-01	-8.000000e-01	-2.264117e+00	-2.532999e-01	-3.064381e+00
7.000000e-01	-2.887223e+00	-1.232804e+00	-2.034303e+00	-8.693490e-12	-2.000000e-01	-8.000000e-01	-2.269404e+00	-2.597478e-01	-3.079083e+00
7.100000e-01	-2.890590e+00	-1.236079e+00	-2.036402e+00	-7.415846e-12	-2.000000e-01	-8.000000e-01	-2.274144e+00	-2.659640e-01	-3.093242e+00
7.200000e-01	-2.893544e+00	-1.238956e+00	-2.038242e+00	-6.141754e-12	-2.000000e-01	-8.000000e-01	-2.278329e+00	-2.719377e-01	-3.106814e+00
7.300000e-01	-2.896083e+00	-1.241432e+00	-2.039824e+00	-4.906298e-12	-2.000000e-01	-8.000000e-01	-2.281950e+00	-2.776572e-01	-3.119754e+00
7.400000e-01	-2.898204e+00	-1.243503e+00	-2.041145e+00	-3.743450e-12	-2.000000e-01	-8.000000e-01	-2.285001e+00	-2.831093e-01	-3.132019e+00
7.500000e-01	-2.899906e+00	-1.245166e+00	-2.042204e+00	4.440892e-16	-2.000000e-01	-8.000000e-01	-2.287481e+00	-2.882794e-01	-3.143563e+00
7.600000e-01	-2.901188e+00	-1.246420e+00	-2.043002e+00	-4.440892e-16	-2.000000e-01	-8.000000e-01	-2.289388e+00	-2.931520e-01	-3.154343e+00
7.700000e-01	-2.902049e+00	-1.247262e+00	-2.043538e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-2.290722e+00	-2.977101e-01	-3.164318e+00
7.800000e-01	-2.902488e+00	-1.247691e+00	-2.043812e+00	-2.220446e-16	-2.000000e-01	-8.000000e-01	-2.291488e+00	-3.019355e-01	-3.173450e+00
7.900000e-01	-2.902505e+00	-1.247708e+00	-2.043822e+00	-2.220446e-16	-2.000000e-01	-8.000000e-01	-2.291691e+00	-3.058089e-01	-3.181703e+00
8.000000e-01	-2.902099e+00	-1.247311e+00	-2.043570e+00	0.000000e+00	-2.000000e-01	-8.000000e-01	-2.291340e+00	-3.093100e-01	-3.189045e+00
8.100000e-01	-2.901272e+00	-1.246502e+00	-2.043055e+00	-2.220446e-16	-2.000000e-01	-8.000000e-01	-2.290443e+00	-3.124176e-01	-3.195451e+00
8.200000e-01	-2.900023e+00	-1.245281e+00	-2.042278e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-2.289014e+00	-3.151095e-01	-3.200898e+00
8.300000e-01	-2.898355e+00	-1.243650e+00	-2.041238e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-2.287066e+00	-3.173631e-01	-3.205367e+00
8.400000e-01	-2.896267e+00	-1.241612e+00	-2.039938e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-2.284616e+00	-3.191556e-01	-3.208845e+00
8.500000e-01	-2.893762e+00	-1.239168e+00	-2.038378e+00	-4.440892e-16	-2.000000e-01	-8.000000e-01	-2.281679e+00	-3.204637e-01	-3.211322e+00
8.600000e-01	-2.890841e+00	-1.236323e+00	-2.036558e+00	-2.220446e-16	-2.000000e-01	-8.000000e-01	-2.278276e+00	-3.212647e-01	-3.212793e+00
8.700000e-01	-2.887507e+00	-1.233080e+00	-2.034480e+00	0.000000e+00	-2.000000e-01	-8.000000e-01	-2.274426e+00	-3.215363e-01	-3.213256e+00
8.800000e-01	-2.883762e+00	-1.229442e+00	-2.032145e+00	-4.440892e-16	-2.000000e-01	-8.000000e-01	-2.270148e+00	-3.212571e-01	-3.212709e+00
8.900000e-01	-2.879608e+00	-1.225415e+00	-2.029554e+00	2.220446e-16	-2.000000e-01	-8.000000e-01	-2.265465e+00	-3.204074e-01	-3.211154e+00
